S. No. ,Year,Category,State/UT,Murder ,Culpable Homicide not amounting to Murder,Dowry Deaths,Attempt to Commit Murder ,Attempt to Commit Culpable Homicide,Grievous Hurt,Kidnapping and Abduction ,Rape ,Attempt to Commit Rape ,Rioting ,Robbery ,Dacoity,Arson ,Total Violent Crimes
1,2021,State,Andhra Pradesh,956,112,108,1528,3,1009,835,1188,162,444,259,74,526,7204
2,2021,State,Arunachal Pradesh,49,3,0,27,0,161,85,83,9,6,50,7,12,492
3,2021,State,Assam,1192,95,198,1288,2,10918,7580,1733,561,780,1885,188,513,26933
4,2021,State,Bihar,2799,136,1000,7626,582,11420,10198,786,63,6298,2422,267,183,43780
5,2021,State,Chhattisgarh,1007,42,65,691,2,999,2681,1093,7,904,553,73,315,8432
6,2021,State,Goa,26,2,0,30,0,86,52,72,0,40,27,1,9,345
7,2021,State,Gujarat,1010,114,11,856,71,2976,1621,589,1,161,560,121,210,8301
8,2021,State,Haryana,1112,45,275,947,99,1434,3554,1716,235,2253,692,156,291,12809
9,2021,State,Himachal Pradesh,86,8,2,69,0,427,430,358,3,315,8,3,53,1762
10,2021,State,Jammu and Kashmir,141,29,16,514,0,43,1017,317,16,759,104,3,131,3088
11,2021,State,Jharkhand,1573,41,281,2976,2,2477,1767,1425,164,1834,693,124,138,13495
12,2021,State,Karnataka,1357,84,158,2680,23,1301,2879,555,4,4193,1618,188,230,15270
13,2021,State,Kerala,337,78,9,600,1716,1704,364,771,61,1725,780,64,256,8465
14,2021,State,Madhya Pradesh,2034,197,522,1910,55,5752,9511,2947,28,1050,1165,84,754,26009
15,2021,State,Maharashtra,2330,276,172,3489,46,7881,10502,2496,1,8709,6067,623,1152,43744
16,2021,State,Manipur,46,9,2,130,0,152,85,26,0,60,8,0,27,545
17,2021,State,Meghalaya,80,10,0,56,0,83,123,75,26,1,69,26,27,576
18,2021,State,Mizoram,24,9,0,19,18,34,2,26,0,0,21,2,31,186
19,2021,State,Nagaland,27,2,0,34,0,17,48,4,0,1,16,2,6,157
20,2021,State,Odisha,1394,12,293,5062,1,2207,5625,1456,151,2220,2814,355,653,22243
21,2021,State,Punjab,723,177,69,926,76,1804,1787,464,60,0,107,43,76,6312
22,2021,State,Rajasthan,1786,96,452,2103,681,701,7717,6337,987,249,1485,78,412,23084
23,2021,State,Sikkim,14,2,0,6,0,23,39,8,0,0,6,0,11,109
24,2021,State,Tamil Nadu,1686,71,27,2842,4,1073,821,422,20,2275,2558,111,461,12371
25,2021,State,Telangana,1026,428,175,1437,8,1519,2760,823,36,562,464,42,562,9842
26,2021,State,Tripura,122,5,22,137,0,918,136,61,14,117,17,7,81,1637
27,2021,State,Uttar Pradesh,3717,1371,2222,4010,1809,14039,14554,2845,277,5302,1909,130,317,52502
28,2021,State,Uttarakhand,208,42,72,212,7,242,819,534,33,791,174,14,12,3160
29,2021,State,West Bengal,1884,246,454,12636,2548,18257,8339,1123,875,776,318,52,396,47904
30,2021,Union Territory,Andaman and Nicobar Islands,16,3,1,6,7,24,7,15,2,2,2,0,3,88
31,2021,Union Territory,Chandigarh,17,1,4,23,3,21,154,74,0,39,17,6,3,362
32,2021,Union Territory,D&N Haveli,8,0,0,3,1,7,23,2,0,2,5,1,2,54
33,2021,Union Territory,Daman & Diu,6,1,0,3,2,7,25,1,0,1,6,2,1,55
34,2021,Union Territory,Ladakh,5,2,0,1,0,1,4,2,0,8,0,0,0,23
35,2021,Union Territory,Delhi,459,60,141,761,662,404,5527,1250,6,68,2333,26,88,11785
36,2021,Union Territory,Lakshadweep,1,0,0,1,0,0,0,0,0,0,0,0,3,5
37,2021,Union Territory,Puducherry,19,0,2,34,0,45,40,2,0,17,12,4,16,191
Total All India,2021,Total All India,Total All India,29272,3807,6753,55672,8428,90165,101707,31677,3800,41954,29224,2877,7961,413297
